time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,left_gripper,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2,right_gripper
0.422537,-0.0816844768616,-1.00245644374,-1.18883510925,1.94201967524,0.668048632361,1.0289176123,-0.498160260297,0.0,0.331723345001,-0.915403034125,-0.219742747614,1.23983997039,0.13383982359,1.09411179571,-0.116966034943,100.0
0.422674,-0.0816844768616,-1.00245644374,-1.18883510925,1.94201967524,0.668048632361,1.0289176123,-0.498160260297,0.0,0.331723345001,-0.915403034125,-0.219742747614,1.23983997039,0.13383982359,1.09411179571,-0.116966034943,100.0
0.432809,-0.0828349624512,-1.00168945334,-1.18998559484,1.94240317044,0.668432127557,1.0293011075,-0.498543755493,0.0,0.331723345001,-0.914636043732,-0.219742747614,1.23983997039,0.134606813983,1.09411179571,-0.117733025336,100.0
0.442791,-0.0816844768616,-1.00207294854,-1.18883510925,1.94240317044,0.668815622754,1.0293011075,-0.498160260297,0.0,0.331723345001,-0.916170024518,-0.22012624281,1.2394564752,0.13499030918,1.09372830051,-0.116582539746,100.0
0.452760,-0.081300981665,-1.00207294854,-1.18883510925,1.94201967524,0.668432127557,1.0293011075,-0.498543755493,0.0,0.330956354608,-0.914636043732,-0.21897575722,1.23983997039,0.13499030918,1.09334480532,-0.117349530139,100.0
0.462815,-0.0820679720581,-1.00207294854,-1.18960209965,1.94317016083,0.668048632361,1.0289176123,-0.498543755493,0.0,0.331723345001,-0.915786529321,-0.219359252417,1.23907298,0.134606813983,1.09372830051,-0.117349530139,100.0
0.472845,-0.0816844768616,-1.00207294854,-1.18883510925,1.94163618005,0.668432127557,1.0289176123,-0.4977767651,0.0,0.331723345001,-0.916170024518,-0.21897575722,1.2394564752,0.135373804376,1.09411179571,-0.117733025336,100.0
0.482851,-0.0820679720581,-1.00207294854,-1.18921860445,1.94201967524,0.66919911795,1.0293011075,-0.497393269904,0.0,0.331723345001,-0.915403034125,-0.219359252417,1.24060696078,0.13499030918,1.09411179571,-0.117733025336,100.0
0.492768,-0.0824514672546,-1.00168945334,-1.18883510925,1.94163618005,0.66919911795,1.0293011075,-0.497009774707,0.0,0.331339849805,-0.915786529321,-0.21897575722,1.2394564752,0.135373804376,1.09449529091,-0.117349530139,100.0
0.502771,-0.081300981665,-1.00207294854,-1.18960209965,1.94278666564,0.668815622754,1.0293011075,-0.4977767651,0.0,0.332490335394,-0.916170024518,-0.219359252417,1.24022346559,0.13499030918,1.09372830051,-0.117349530139,100.0
